# SN 1006 data, taken from Sean's paper (arXiv LaTeX source file)
# Transcribed 2014 Oct 20 by Aaron
# hopefully no mistakes were made...

# Reg   0.7-1   err     1-2     err     2-7kev  err
# -------------------------------------------------
 1      36      2.2     33.4    1.3     33.3    2.6
 2      9.4     0.8     6.0     0.3     4.9     0.4
 3      10.3    0.6     10.1    0.4     6.5     0.3
 4      78.1    7.1     76.7    4.6     48.4    2.3

 5      25.8    1.0     19.5    0.5     17.5    0.7
 8      23.8    1.8     20.9    0.9     15.9    0.9
 9      26.9    0.5     16.2    0.1     11.1    0.1
10      33.4    1.4     30.7    0.5     26.8    0.7
11      15.2    0.3     11.2    0.1     10.9    0.8

12      12.4   1.7      14.2    1.0     11.0    0.9
13      50.8   2.3      54.9    2.0     38.0    1.9
14      38.6   2.1      33.6    1.2     27.7    1.9
15      69.9   4.2      47.5    1.5     23.7    1.3
16      74.0   5.2      63.6    2.1     46.3    2.3

17      35.2   2.9      27.1    1.2     20.5    1.6
18      24.2   1.8      29.9    0.9     19.0    1.2
19      13.7   1.1      15.1    0.6     6.9     0.6
20      34.2   3.0      39.8    1.6     27.0    1.5
21      35.0   1.9      14.0    0.5     12.3    0.3
22      31.7   2.1      17.5    0.7     13.9    1.1

 6      43.7   4.4      33.5    0.9     33.6    1.6
 7      13.8   0.4       9.7    0.2     10.2    0.1
