Table 2
Summary of Proper-motion Measurements for Forward Shock (FS) and Ejecta Knots (EK)

Azimuth (deg)	Proper Motion (arcsec yr^-1)	Expansion Rate (% yr^-1)	Expansion Index	
	2000-2007  -  2003-2007	2000-2007  -  2003-2007	2000-2007  -  2003-2007	
3 (FS)	0.338 +or- 0.016  -  0.256 +or- 0.024	0.141 +or- 0.007  -  0.107 +or- 0.010	0.605 +or- 0.029  -  0.461 +or- 0.043	
9 (FS)	0.374 +or- 0.016  -  0.279 +or- 0.021	0.160 +or- 0.007  -  0.119 +or- 0.009	0.687 +or- 0.029  -  0.516 +or- 0.040	
15 (FS)	0.309 +or- 0.011  -  0.270 +or- 0.015	0.135 +or- 0.005  -  0.119 +or- 0.007	0.582 +or- 0.020  -  0.512 +or- 0.028	
21 (FS)	0.340 +or- 0.015  -  0.273 +or- 0.019	0.149 +or- 0.007  -  0.120 +or- 0.008	0.641 +or- 0.028  -  0.517 +or- 0.036	
27 (FS)	0.325 +or- 0.017  -  0.261 +or- 0.024	0.142 +or- 0.008  -  0.114 +or- 0.011	0.612 +or- 0.033  -  0.495 +or- 0.046	
40 (FS)	0.361 +or- 0.022  -  0.217 +or- 0.029	0.156 +or- 0.010  -  0.094 +or- 0.013	0.672 +or- 0.041  -  0.407 +or- 0.055	
45 (EK)	0.217 +or- 0.019  -  0.239 +or- 0.021	0.085 +or- 0.007  -  0.094 +or- 0.008	0.366 +or- 0.032  -  0.405 +or- 0.036	
56.25 (EK)	0.195 +or- 0.016  -  0.213 +or- 0.025	0.076 +or- 0.006  -  0.084 +or- 0.010	0.328 +or- 0.027  -  0.361 +or- 0.042	
70 (FS)	0.263 +or- 0.018  -  0.142 +or- 0.029	0.117 +or- 0.008  -  0.063 +or- 0.013	0.503 +or- 0.034  -  0.272 +or- 0.055	
78 (FS)	0.289 +or- 0.013  -  0.173 +or- 0.012	0.103 +or- 0.006  -  0.079 +or- 0.006	0.442 +or- 0.025  -  0.341 +or- 0.024	
85 (FS)	0.307 +or- 0.011  -  0.204 +or- 0.012	0.108 +or- 0.005  -  0.093 +or- 0.005	0.466 +or- 0.021  -  0.402 +or- 0.024	
92 (FS)	0.242 +or- 0.020  -  0.137 +or- 0.022	0.106 +or- 0.009  -  0.060 +or- 0.010	0.456 +or- 0.039  -  0.260 +or- 0.042	
