Table 1
Measurements

Deg.	24 mum Flux	70 mum Flux	70/24 Flux Ratio	V_s	T_P	
(km s^-1)	(keV)	
13	201	1319	6.96 +or- 1.1	3660 +or- 366	26.0	
31	223	1373	5.97 +or- 0.93	3310 +or- 331	21.3	
47	226	1358	5.42 +or- 0.84	2360 +or- 236	10.9	
63	514	1592	3.50 +or- 0.54	1920 +or- 378	7.1	
81	1093	1739	2.09 +or- 0.32	2210 +or- 378	9.5	
105	279	1394	6.07 +or- 0.94	3110 +or- 311	18.8	
121	315	1441	5.99 +or- 0.93	3510 +or- 351	24.0	
138	198	1319	7.65 +or- 1.2	3330 +or- 333	21.6	
155	181	1361	8.79 +or- 1.4	3480 +or- 538	23.6	
172	184	1369	9.21 +or- 1.4	3240 +or- 486	20.4	
192	103	1281	15.10 +or- 2.3	3780 +or- 378	27.8	
213	99	1304	15.70 +or- 2.4	4060 +or- 634	32.1	
233	94	1339	15.92 +or- 2.5	3980 +or- 418	30.9	
252	88	1211	14.33 +or- 2.2	3920 +or- 648	29.8	
272	96	1248	13.70 +or- 2.1	3850 +or- 385	28.8	
290	110	1168	10.58 +or- 1.6	3700 +or- 370	26.6	
308	346	1499	4.34 +or- 0.67	3580 +or- 358	24.9	
331	1362	2113	1.98 +or- 0.31	3200 +or- 320	19.9	
353	273	1426	5.02 +or- 0.78	2380 +or- 238	11.0	

Notes. Deg. = Azimuthal angle, east of north. All fluxes reported in millijanskys. Errors on fluxes are 4% for 24 mum and 15% for 70 mum (see Section 1 for details). Vs = shock velocity, averaged from radio and X-ray measurements and assuming D = 2.3 kpc. TP = proton temperature.
